Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Modifier Id,Master Id,Modifier SKU,Modifier PLU,Modifier,Option Group ID,Option Group Name,Parent Menu Selection Item ID,Parent Menu Selection,Sales Category,Gross Price,Discount,Net Price,Qty,Void?,Void Reason ID,Void Reason
Cupertino,600000035448213824,2,2/8/25 11:03 AM,2/8/25 11:03 AM,600000035448208426,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035448452752,,,,,Include plasticware,,,600000010081902976,Romaine Lettuce Salad with Sesame Dressing Ⓥ 麻酱生菜沙拉,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035448213824,2,2/8/25 11:03 AM,2/8/25 11:03 AM,600000035448208426,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035448452754,,,,,Include plasticware,,,600000010081905403,Sweet & Sour Cucumber Ⓥ 🌶️ 甜辣小黄瓜,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035448213824,2,2/8/25 11:03 AM,2/8/25 11:03 AM,600000035448208426,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035448452756,,,,,Include plasticware,,,600000010081846333,Pork & Shrimp Potstickers (6) 🦐 猪肉三鲜锅贴,,0.00,0.00,0.00,2.0,false,,
Cupertino,600000035448213824,2,2/8/25 11:03 AM,2/8/25 11:03 AM,600000035448208426,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035448452758,,,,,Include plasticware,,,600000010081857563,Pork Wontons in Chili Sauce (6) 🌶️ 红油猪肉抄手,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035448213824,2,2/8/25 11:03 AM,2/8/25 11:03 AM,600000035448208426,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035448452760,,,,,Include plasticware,,,600000010081895396,Zha Jiang Mian 京味炸酱面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035448213824,2,2/8/25 11:03 AM,2/8/25 11:03 AM,600000035448208426,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035448452762,,,,,Include plasticware,,,600000010081892480,Beef-Stew Noodles 🌶️ 秘制牛肉小面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035448213824,2,2/8/25 11:03 AM,2/8/25 11:03 AM,600000035448208426,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035448452764,,,,,Include plasticware,,,600000010081834427,Pork Xiao Long Bao (8) 鲜肉小笼包,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035448640260,3,2/8/25 11:08 AM,2/8/25 11:08 AM,600000035448577012,Default Online Ordering,A4,Dining Room,Lunch,Dine In,600000035448685982,600000027696485469,600000027696485470,,,No Green Onion 不要葱花,600000010081895394,Ingredients 原料,600000010081895356,Beef-Stew Noodle Soup 🌶️ 秘制牛肉汤面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035451794206,20,2/8/25 12:05 PM,2/8/25 12:05 PM,600000035451793607,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035451823654,600000028482322730,600000028482322731,,,No Yibin Sprouts 不要宜宾芽菜,600000028482272477,Ingredients 原料,600000028210151889,Cold Noodles with Sesame Dressing Ⓥ 麻酱凉面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035451568316,16,2/8/25 12:14 PM,2/8/25 12:00 PM,600000035451568315,Yafang Chen,B3,Dining Room,Lunch,Dine In,600000035452229924,,,,,For evelyn.,,,600000010081905403,Sweet & Sour Cucumber Ⓥ 🌶️ 甜辣小黄瓜,,0.00,0.00,0.00,2.0,false,,
