Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
Cupertino,600000034889217390,1,1/22/25 11:00 AM,1/22/25 11:00 AM,600000034889217341,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000034889389848,600000010081832227,600000010081832226,,,Pan Fried Chive Dumplings (3) 韭菜盒子,,HOUSE SPECIALS,Dough Zone Menu (Cupertino),HOUSE SPECIALS,8.40,0.00,8.40,1.0,0.76000000,false,false,false,Tax Not Included,No Effect,DD 71e0b437 Chinmayi M
Cupertino,600000034889217390,1,1/22/25 11:00 AM,1/22/25 11:00 AM,600000034889217341,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000034889389849,600000010081843259,600000010081843258,,,Vegetable Potstickers (6) Ⓥ 素三鲜锅贴,,DUMPLINGS,Dough Zone Menu (Cupertino),PAN FRIED DUMPLINGS,8.40,0.00,8.40,1.0,0.77000000,false,false,false,Tax Not Included,No Effect,DD 71e0b437 Chinmayi M
Cupertino,600000034889217390,1,1/22/25 11:00 AM,1/22/25 11:00 AM,600000034889217341,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000034889403401,600000010081888887,600000010081888886,,,Vegetarian Spicy (Ma La) Noodles Ⓥ 🌶️🌶️ 素麻辣小面,,NOODLES,Dough Zone Menu (Cupertino),NOODLES,9.10,0.00,9.10,1.0,0.83000000,false,false,false,Tax Not Included,No Effect,DD 71e0b437 Chinmayi M
Cupertino,600000034889477122,2,1/22/25 11:03 AM,1/22/25 11:03 AM,600000034889477121,andres valencia,A2,Dining Room,Lunch,Dine In,600000034889477115,600000010081905518,600000010081905517,,,Chicken & Vegetable Wontons in Chicken Soup 鸡汤菜肉大馄饨,,WONTONS,Dough Zone Menu (Cupertino),BOILED DUMPLINGS,7.90,0.00,7.90,1.0,0.72000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000034889477122,2,1/22/25 11:03 AM,1/22/25 11:03 AM,600000034889477121,andres valencia,A2,Dining Room,Lunch,Dine In,600000034889477117,600000010081880028,600000010081880027,,,Dan Dan Noodles Ⓥ🌶️🌶️ 担担面,,NOODLES,Dough Zone Menu (Cupertino),NOODLES,7.90,0.00,7.90,1.0,0.72000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000034889477122,2,1/22/25 11:03 AM,1/22/25 11:03 AM,600000034889477121,andres valencia,A2,Dining Room,Lunch,Dine In,600000034889477119,600000010081918795,600000010081918794,,,Oolong Tea (Hot) 乌龙茶 (热),,BEVERAGES,Dough Zone Menu (Cupertino),BEVERAGES,5.50,0.00,5.50,1.0,0.50000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000034889955553,3,1/22/25 11:21 AM,1/22/25 11:20 AM,600000034889955552,Yun Juan Huang,,,Lunch,Take Out,600000034889954682,600000010081823847,600000010081823846,,,Green Onion Pancake (1) Ⓥ 葱油饼,,HOUSE SPECIALS,Dough Zone Menu (Cupertino),HOUSE SPECIALS,4.15,0.00,4.15,1.0,0.38000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000034889955553,3,1/22/25 11:21 AM,1/22/25 11:20 AM,600000034889955552,Yun Juan Huang,,,Lunch,Take Out,600000034889954684,600000010081823847,600000010081823846,,,Green Onion Pancake (1) Ⓥ 葱油饼,,HOUSE SPECIALS,Dough Zone Menu (Cupertino),HOUSE SPECIALS,4.15,0.00,4.15,1.0,0.38000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000034889955553,3,1/22/25 11:21 AM,1/22/25 11:20 AM,600000034889955552,Yun Juan Huang,,,Lunch,Take Out,600000034889954686,600000010081823847,600000010081823846,,,Green Onion Pancake (1) Ⓥ 葱油饼,,HOUSE SPECIALS,Dough Zone Menu (Cupertino),HOUSE SPECIALS,4.15,0.00,4.15,1.0,0.38000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000034889955553,3,1/22/25 11:21 AM,1/22/25 11:20 AM,600000034889955552,Yun Juan Huang,,,Lunch,Take Out,600000034889954688,600000010081823847,600000010081823846,,,Green Onion Pancake (1) Ⓥ 葱油饼,,HOUSE SPECIALS,Dough Zone Menu (Cupertino),HOUSE SPECIALS,4.15,0.00,4.15,1.0,0.38000000,false,false,false,Tax Not Included,No Effect,
