Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,7.976069489685125,921.0,0.0,7345.96,0.0,921.0,7345.96,0.0,0.00,62.30,7283.66,156,0,0,0,0,0,0,0
,,,Dough Zone Menu (Cupertino),,,,,7.976069489685125,921.0,1.0,7345.96,1.0,921.0,7345.96,0.0,0.00,62.30,7283.66,156,1.0,0,0,1.0,0,0,1.0
600000010081823843,600000010081823844,,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,,,6.38,123.0,0.13355048859934854,784.70,0.10682061976923371,123.0,784.70,0.0,0.00,1.88,782.82,75,0.4807692307692308,0,0.13355048859934854,0.13355048859934854,0,0.10747618642276,0.10747618642276
600000010081823846,600000010081823847,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Green Onion Pancake (1) Ⓥ 葱油饼,,4.242857142857143,56.0,0.45528455284552843,237.60,0.3027908754938193,56.0,237.60,0.0,0.00,0.00,237.60,42,0.56,0.45528455284552843,0.06080347448425624,0.06080347448425624,0.3035180501264658,0.03262096253806465,0.03262096253806465
600000010081825599,600000010081826450,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Spicy Beef Sandwich (1) 🌶️🌶️大嘴牛肉包 (辣),,7.666666666666667,3.0,0.024390243902439025,23.00,0.02931056454696062,3.0,23.00,0.0,0.00,0.00,23.00,3,0.04,0.024390243902439025,0.003257328990228013,0.003257328990228013,0.02938095603076058,0.003157753107640939,0.003157753107640939
600000010081827854,600000010081827857,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Beef Sandwich (1) 大嘴牛肉包 (不辣),,7.74,10.0,0.08130081300813008,77.40,0.09863642156238053,10.0,77.40,0.0,0.00,0.00,77.40,7,0.09333333333333334,0.08130081300813008,0.010857763300760043,0.010857763300760043,0.09887330420786387,0.010626525675278638,0.010626525675278638
600000010081829145,600000010081829146,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Spicy Beef Pancake Roll (1) 🌶️🌶️ 麻辣牛肉卷饼,,9.690000000000001,5.0,0.04065040650406504,48.45,0.06174334140435835,5.0,48.45,0.0,0.00,0.00,48.45,4,0.05333333333333334,0.04065040650406504,0.0054288816503800215,0.0054288816503800215,0.06189162259523262,0.0066518755680523255,0.0066518755680523255
600000010081831014,600000010081831015,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Beef Pancake Roll (1) 酱香牛肉卷饼 (不辣),,9.490625,16.0,0.13008130081300814,151.85,0.19351344462852044,16.0,151.85,0.0,0.00,1.88,149.97,13,0.17333333333333334,0.13008130081300814,0.01737242128121607,0.01737242128121607,0.191576607649268,0.020589923197952678,0.020589923197952678
600000010081832226,600000010081832227,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Pan Fried Chive Dumplings (3) 韭菜盒子,,7.553846153846154,13.0,0.10569105691056911,98.20,0.12514336689180577,13.0,98.20,0.0,0.00,0.00,98.20,13,0.17333333333333334,0.10569105691056911,0.014115092290988056,0.014115092290988056,0.12544390792263865,0.013482232833493053,0.013482232833493053
600000010081833953,600000010081833954,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Pan Fried Beef Pies (2) 牛肉馅饼,,7.614285714285714,7.0,0.056910569105691054,53.30,0.06792404740665221,7.0,53.30,0.0,0.00,0.00,53.30,7,0.09333333333333334,0.056910569105691054,0.00760043431053203,0.00760043431053203,0.06808717201911038,0.007317749592924436,0.007317749592924436
600000031726935735,600000031726935734,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Chinese Crepe 煎饼果子 (薄脆),,7.300000000000001,13.0,0.10569105691056911,94.90,0.12093793806550274,13.0,94.90,0.0,0.00,0.00,94.90,13,0.17333333333333334,0.10569105691056911,0.014115092290988056,0.014115092290988056,0.12122837944865997,0.013029163909353266,0.013029163909353266
