Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Modifier Id,Master Id,Modifier SKU,Modifier PLU,Modifier,Option Group ID,Option Group Name,Parent Menu Selection Item ID,Parent Menu Selection,Sales Category,Gross Price,Discount,Net Price,Qty,Void?,Void Reason ID,Void Reason
Cupertino,600000035218128361,11,2/1/25 11:35 AM,2/1/25 11:35 AM,600000035218128311,Default Online Ordering,A7,Dining Room,Lunch,Dine In,600000035218206448,600000027695817041,600000027695817042,,,No Chili Oil 不要红油,600000027695801376,Sauce 酱汁,600000010081905403,Sweet & Sour Cucumber Ⓥ 🌶️ 甜辣小黄瓜,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218128361,11,2/1/25 11:38 AM,2/1/25 11:35 AM,600000035218128311,Default Online Ordering,A7,Dining Room,Lunch,Dine In,600000035218406147,,,,,No Chili,,,600000010081895356,Beef-Stew Noodle Soup 🌶️ 秘制牛肉汤面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218456532,16,2/1/25 11:47 AM,2/1/25 11:47 AM,600000035218456432,Default Online Ordering,A4,Dining Room,Lunch,Dine In,600000035218848183,600000027695817041,600000027695817042,,,No Chili Oil 不要红油,600000027695801376,Sauce 酱汁,600000010081905403,Sweet & Sour Cucumber Ⓥ 🌶️ 甜辣小黄瓜,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218456532,16,2/1/25 11:47 AM,2/1/25 11:47 AM,600000035218456432,Default Online Ordering,A4,Dining Room,Lunch,Dine In,600000035218848186,600000027695709859,600000027695709860,,,No Sesame 不要芝麻,600000027695692468,Ingredients 原料,600000010081857563,Pork Wontons in Chili Sauce (6) 🌶️ 红油猪肉抄手,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218456532,16,2/1/25 11:47 AM,2/1/25 11:47 AM,600000035218456432,Default Online Ordering,A4,Dining Room,Lunch,Dine In,600000035218848189,600000027696290401,600000027696290402,,,No Sesame 不要芝麻,600000010081888850,Ingredients 原料,600000010081886453,Yibin Noodles Ⓥ 🌶️ 宜宾燃面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218456532,16,2/1/25 11:47 AM,2/1/25 11:47 AM,600000035218456432,Default Online Ordering,A4,Dining Room,Lunch,Dine In,600000035218848190,600000027697792518,600000027697792519,,,No Peanut 不要花生,600000010081888850,Ingredients 原料,600000010081886453,Yibin Noodles Ⓥ 🌶️ 宜宾燃面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218243049,18,2/1/25 11:48 AM,2/1/25 11:48 AM,600000035219004650,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035218910140,600000027695489608,600000027695489609,,,No Green Onion 不要葱花,600000027695469675,Ingredients 原料,600000010081852343,Chicken & Vegetable Wontons in Chili Sauce (6) 🌶️ 红油菜肉大馄饨,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218680538,19,2/1/25 11:50 AM,2/1/25 11:50 AM,600000035218651739,Default Online Ordering,B7,Dining Room,Lunch,Dine In,600000035219087168,,,,,For Aaron Miller.,,,600000010081888852,Spicy (Ma La) Noodles 🌶️🌶️ 麻辣小面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218680538,19,2/1/25 11:50 AM,2/1/25 11:50 AM,600000035218651739,Default Online Ordering,B7,Dining Room,Lunch,Dine In,600000035219087170,,,,,For Aaron Miller.,,,600000010081874216,Spicy Beef Shank 🌶️🌶️ 麻辣牛腱,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218680538,19,2/1/25 11:50 AM,2/1/25 11:50 AM,600000035218651739,Default Online Ordering,B7,Dining Room,Lunch,Dine In,600000035219087172,,,,,For Aaron Miller.,,,600000010081852319,Pork & Shrimp Boiled Dumplings (6) 🦐 猪肉三鲜水饺,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218680538,19,2/1/25 11:50 AM,2/1/25 11:50 AM,600000035218651739,Default Online Ordering,B7,Dining Room,Lunch,Dine In,600000035219087174,,,,,For Set.,,,600000010081918799,Milk Tea (Cold) 奶茶 (冷),,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218680538,19,2/1/25 11:50 AM,2/1/25 11:50 AM,600000035218651739,Default Online Ordering,B7,Dining Room,Lunch,Dine In,600000035219087176,,,,,For Set.,,,600000010081883486,Green Onion Soy Sauce Noodles Ⓥ 葱油拌面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218680538,19,2/1/25 11:50 AM,2/1/25 11:50 AM,600000035218651739,Default Online Ordering,B7,Dining Room,Lunch,Dine In,600000035219087178,,,,,For Set.,,,600000010081835786,Pork & Crab Meat Xiao Long Bao (8) 🦐 蟹肉小笼包,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035219068256,21,2/1/25 11:52 AM,2/1/25 11:52 AM,600000035219052007,Default Online Ordering,A1,Dining Room,Lunch,Dine In,600000035219112109,600000027695721240,600000027695721241,,,Sauce On Side 酱汁分开,600000027695692470,Sauce 酱汁,600000010081857563,Pork Wontons in Chili Sauce (6) 🌶️ 红油猪肉抄手,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035218636291,20,2/1/25 11:51 AM,2/1/25 11:51 AM,600000035218623042,Default Online Ordering,B3,Dining Room,Lunch,Dine In,600000035219137103,600000027693016529,600000027693016530,,,No Green Onion 不要葱花,600000010081850664,Ingredients 原料,600000010081905518,Chicken & Vegetable Wontons in Chicken Soup 鸡汤菜肉大馄饨,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035219287269,23,2/1/25 11:57 AM,2/1/25 11:57 AM,600000035219287169,Default Online Ordering,D2,Dining Room,Lunch,Dine In,600000035219383195,,,,,For Nancy.,,,600000010081835786,Pork & Crab Meat Xiao Long Bao (8) 🦐 蟹肉小笼包,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035219287269,23,2/1/25 11:57 AM,2/1/25 11:57 AM,600000035219287169,Default Online Ordering,D2,Dining Room,Lunch,Dine In,600000035219383197,,,,,For Nancy.,,,600000010081905518,Chicken & Vegetable Wontons in Chicken Soup 鸡汤菜肉大馄饨,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035219287269,23,2/1/25 11:57 AM,2/1/25 11:57 AM,600000035219287169,Default Online Ordering,D2,Dining Room,Lunch,Dine In,600000035219383199,,,,,For Alice Zhou.,,,600000010081831015,Beef Pancake Roll (1) 酱香牛肉卷饼 (不辣),,0.00,0.00,0.00,1.0,false,,
