Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Modifier Id,Master Id,Modifier SKU,Modifier PLU,Modifier,Option Group ID,Option Group Name,Parent Menu Selection Item ID,Parent Menu Selection,Sales Category,Gross Price,Discount,Net Price,Qty,Void?,Void Reason ID,Void Reason
Cupertino,600000035267787271,4,2/2/25 11:29 AM,2/2/25 11:29 AM,600000035267749276,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035268076742,,,,,Include plasticware,,,600000010081823847,Green Onion Pancake (1) Ⓥ 葱油饼,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035267787271,4,2/2/25 11:29 AM,2/2/25 11:29 AM,600000035267749276,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035268076744,,,,,Include plasticware,,,600000010081845158,Chicken Potstickers (6) 鸡肉锅贴,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035267787271,4,2/2/25 11:29 AM,2/2/25 11:29 AM,600000035267749276,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035268076746,,,,,Include plasticware,,,600000010081905403,Sweet & Sour Cucumber Ⓥ 🌶️ 甜辣小黄瓜,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035267787271,4,2/2/25 11:29 AM,2/2/25 11:29 AM,600000035267749276,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035268076748,,,,,Include plasticware,,,600000010081880028,Dan Dan Noodles Ⓥ🌶️🌶️ 担担面,,0.00,0.00,0.00,2.0,false,,
Cupertino,600000035267787271,4,2/2/25 11:29 AM,2/2/25 11:29 AM,600000035267749276,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035268163400,,,,,Include plasticware,,,600000010081892480,Beef-Stew Noodles 🌶️ 秘制牛肉小面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035267787271,4,2/2/25 11:29 AM,2/2/25 11:29 AM,600000035267749276,Default Online Ordering,,,Lunch,DoorDash - Takeout,600000035268163402,,,,,Include plasticware,,,600000010081834427,Pork Xiao Long Bao (8) 鲜肉小笼包,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035268132805,5,2/2/25 11:30 AM,2/2/25 11:30 AM,600000035268127257,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035268208956,600000027696290405,600000027696290406,,,No Green Onion 不要葱花,600000010081888850,Ingredients 原料,600000010081886453,Yibin Noodles Ⓥ 🌶️ 宜宾燃面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035268132805,5,2/2/25 11:30 AM,2/2/25 11:30 AM,600000035268127257,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035268208957,600000027696290409,600000027696290410,,,No Yibin Sprouts 不要宜宾芽菜,600000010081888850,Ingredients 原料,600000010081886453,Yibin Noodles Ⓥ 🌶️ 宜宾燃面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035268132805,5,2/2/25 11:30 AM,2/2/25 11:30 AM,600000035268127257,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035268208961,600000027696332689,600000027696332690,,,No Preserved Mustard Strips 不要榨菜,600000010081888885,Ingredients 原料,600000010081888887,Vegetarian Spicy (Ma La) Noodles Ⓥ 🌶️🌶️ 素麻辣小面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035268132805,5,2/2/25 11:30 AM,2/2/25 11:30 AM,600000035268127257,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035268208962,600000027696332693,600000027696332694,,,No Romaine Lettuce 不要罗马生菜丝,600000010081888885,Ingredients 原料,600000010081888887,Vegetarian Spicy (Ma La) Noodles Ⓥ 🌶️🌶️ 素麻辣小面,,0.00,0.00,0.00,1.0,false,,
